dim_year,dim_hour,dim_user,trip_count,duration_sum
2022,16,Annual Member,135251,97170525
2022,16,Casual Member,232951,266470051
2022,17,Annual Member,174639,128439556
2022,17,Casual Member,285105,318199568
2022,18,Annual Member,154909,115212317
2022,18,Casual Member,266001,303048805
2022,19,Annual Member,119244,88564666
2022,19,Casual Member,217809,250434933
2022,20,Annual Member,88988,65133528
2022,20,Casual Member,167608,195427618
2022,21,Annual Member,69040,50884376
2022,21,Casual Member,129262,149112687
2022,22,Annual Member,53949,39692052
2022,22,Casual Member,101720,119208823
2022,23,Annual Member,41355,29731289
2022,23,Casual Member,80919,96488898
