pk,station_count,dim_year
65e08285-6dd5-4826-b67b-964caabd770e,469,2019
bb44d3ba-bdd6-41cf-8291-f68be2239c54,611,2020
5090dcec-7282-441c-86da-c3bee8608160,627,2021
2d4295c7-cc4b-47b5-90e0-3e50764353de,682,2022
