pk,bike_count,dim_year
17d9b0f6-933c-4a01-bcec-7a3030974967,4901,2019
8bec5fd0-cf37-4615-b398-7fb9968fd0b9,6759,2020
43efcbf6-1d92-4642-ab62-8bd39bd2b647,6499,2021
2ce56322-44e1-4741-b02e-3e2a609ea13a,6829,2022
