pk,dim_year,dim_hour,dim_user,trip_count,duration_sum
dc162176-7b8c-4f2d-95cf-4c887d4c40a3,2020,13,casual,68160,127447774
f4272654-b075-4d99-b42f-1516a41cf96b,2020,14,annual,116904,95802073
6588c38b-6be6-40a1-a208-c1ab3867168e,2020,14,casual,79667,153500902
b1d3420b-252d-4dc1-b361-4722158c1391,2020,15,annual,127461,104874085
40f39e08-090e-4e1e-9a11-fc96415dab20,2020,15,casual,86403,159807751
8680518f-87ff-4735-8c1e-6c0e2af01043,2020,16,annual,150549,125455358
f45c7726-dcfc-414f-87f9-b063cde0dd3f,2020,16,casual,91879,167397768
e93eaec6-1244-4971-bf1c-c4f87813315a,2020,17,annual,190748,155794776
753b78f5-1a6c-44c7-be9f-253e83ce6c02,2020,17,casual,101127,176692824
0c1fd660-b2c6-48f7-8fff-4712e0fdb5e9,2020,18,annual,174076,143943847
948be757-8f2d-43c4-8b61-78154cd719a4,2020,18,casual,102407,184682906
040fd8ce-1951-4ed7-aa7c-c7a0f014b38a,2020,19,annual,143140,119588884
1c133849-d3b1-4c91-be68-ab5a8c9a2c77,2020,19,casual,95718,164463009
c433f8f0-dc73-4333-98a0-ccc0eeb650a9,2020,20,annual,104570,87543253
d28c57af-1ddb-4d8f-8f73-7400d546bea1,2020,20,casual,76965,129820885
5750f9a7-190e-4dc5-91ba-447cce9f758d,2020,21,annual,70311,58985372
02a59236-441a-4818-979e-2503cbefb310,2020,21,casual,54186,93519626
c096c8ce-465a-47da-82dd-263070322780,2020,22,annual,47766,38854341
9404b681-2f28-48e4-b491-8d9bac7fbbe7,2020,22,casual,36653,63173067
bc3c6ff3-df42-4e58-a5b0-9eb801e65e70,2020,23,annual,31970,24883297
c14c98d9-48ac-46eb-be62-9b6df792c440,2020,23,casual,25519,45502143
29e7b624-6d32-4342-bb42-46b2ee7dfd53,2021,0,annual,25494,18823381
73b6ae61-de65-42ac-9f57-731dd970a3f8,2021,0,casual,24368,38139483
db91dbce-7afc-451b-9d73-890eaf38fef7,2021,1,annual,15823,11636515
f6bf7c95-96dc-48c5-b188-f095578b3b36,2021,1,casual,16246,27110473
e4d74582-bac7-497f-af86-cae63f48d3bd,2021,2,annual,10189,7759251
32a38493-35ea-43df-9906-4860a976f754,2021,2,casual,11670,18857255
ab97b474-c0d6-4da6-8e1f-4678fe1776f3,2021,3,annual,5884,4134888
913b72c0-0cb7-4cf2-9479-74d2b6a62dc3,2021,3,casual,6534,10832973
a79d9c94-e9fc-4138-b515-fc7fdf285f01,2021,4,annual,4668,3198989
b4b16d7b-438b-4295-97ec-07ec7f1da52a,2021,4,casual,3880,5222595
da5d5ca6-dbad-441d-8703-6ac8bba59ee0,2021,5,annual,9940,6434449
343a0b92-12b1-43c5-90aa-1084549eeacd,2021,5,casual,4398,4811981
b701991e-6e96-43d4-8a5e-686d9557b6c4,2021,6,annual,34043,22742850
af19b813-b66c-46cb-99dd-f24a3d321337,2021,6,casual,11031,10191356
35cfc176-123d-4134-a12d-c464a1f13265,2021,7,annual,70979,49856325
33de2aa5-6996-476f-b356-53b99ff5cd0f,2021,7,casual,21913,21527436
81d3d985-0ce9-4da4-b624-c9bcb70e5c43,2021,8,annual,102912,74641523
22d3dc65-1850-428f-80c0-d207d1169821,2021,8,casual,37020,36435122
87402f51-8f42-4828-8ecf-5a3d286fb979,2021,9,annual,88082,63309690
