pk,trip_count,dim_station,dim_year,dim_user
737e597a-71d4-41f4-a304-57083904a6b4,14276,Bay St / College St (East Side),2022,annual
9b19acf6-6c7f-4f7d-9cb7-7ed16c6fcfce,12252,Bay St / Wellesley St W,2022,annual
df3e3839-842f-4e1e-80d9-984abcd7509c,11606,Dundas St E / Regent Park Blvd,2022,annual
fb497a53-8336-4854-91d8-f8b724535318,10555,College Park - Yonge St Entrance,2022,annual
e08792f2-901f-4ff0-86ab-6a6e2fc3f4d5,10553,King St W / Brant St,2022,annual
650ad550-3619-43f6-8a3d-50810a9938a6,10193,College St / Major St,2022,annual
28a19a10-8789-4bc5-8ede-e9c44a172acd,10192,York St / Queens Quay W,2022,annual
f3973568-f25c-41c9-a305-5e75fb2b3d04,10072,College St / Huron St,2022,annual
3a37b6c0-8dac-409c-8dc4-00f7349091ee,9959,Jarvis St / Dundas St E,2022,annual
7805bccc-b87a-426d-a559-a30ceca5addf,9838,Church St  / Wood St,2022,annual
923c5743-b8be-47dc-97bf-e68c493ed807,30188,York St / Queens Quay W,2022,casual
2ca90d74-aaea-4507-932f-aefc37deb3c2,22963,Bay St / Queens Quay W (Ferry Terminal),2022,casual
ed25f8de-3c97-480d-9d92-657d91a72151,21431,Lake Shore Blvd W / Ontario Dr,2022,casual
b8ff6d82-586b-406c-87ff-0a1e2a1c6b0e,21260,HTO Park (Queens Quay W),2022,casual
09466b40-cb67-439c-92a8-53a881a35949,18767,Ontario Place Blvd / Lake Shore Blvd W (East),2022,casual
bbc34f70-bff5-48ce-b9cf-26212e23a34b,18144,Bay St / College St (East Side),2022,casual
ceea18dd-ab6a-4655-893e-e676ec5d711d,17986,Queens Quay / Yonge St,2022,casual
9abd5493-2149-4d3a-b02c-1dea27dc9b2f,17766,Marilyn Bell Park Tennis Court,2022,casual
e4d30bb5-a7d7-4c65-b966-2f80e353f458,16596,Bathurst St/Queens Quay(Billy Bishop Airport),2022,casual
1c7c6a27-3fdc-4cdb-8d1a-afc3861df3b6,16541,Dundas St W / Yonge St,2022,casual
