pk,bike_count,dim_year
12af2191-d6f6-4caf-8ac6-6f9ae03eca46,4901,2019
c9110fb1-83b9-4cb3-a92c-310bb5bb6ca8,6759,2020
0072cc01-6036-451d-8cc6-5498faa67818,6499,2021
a8eca7ef-c283-4b4b-8bfb-065847325f1f,6829,2022
