pk,station_count,dim_year
a63e95db-c3fe-4f32-b527-24bac29fd9f8,469,2019
f4b3a4e2-2387-4f9b-beb7-46b528985002,611,2020
ea463ef7-4be9-409c-8951-5ebd20a97225,627,2021
95bfe748-31c0-42dd-9b90-140a484ca8db,682,2022
